acc_num,item_id,p_rating
1290,25,3.01
1290,26,3.01
1290,27,3.01
1290,28,3.01
1290,29,3.01
1290,30,3.01
1290,31,3.01
1290,32,3.01
1290,33,3.01
1290,34,3.01
1290,35,3.01
1290,36,3.01
1290,37,3.01
1290,38,3.01
1290,39,3.01
1290,40,3.01
1290,41,3.01
1290,42,3.01
1290,43,3.01
1290,44,3.01
1290,45,3.01
1290,46,3.01
1290,47,3.01
1290,48,3.01
1290,49,3.01
1323,25,3.01
1323,26,3.01
1323,27,3.01
1323,28,3.01
1323,29,3.01
1323,30,3.01
1323,31,3.01
1323,32,3.01
1323,33,3.01
1323,34,3.01
1323,35,3.01
1323,36,3.01
1323,37,3.01
1323,38,3.01
1323,39,3.01
1323,40,3.01
1323,41,3.01
1323,42,3.01
1323,43,3.01
1323,44,3.01
1323,45,3.01
1323,46,3.01
1323,47,3.01
1323,48,3.01
1323,49,3.01
1253,25,3.22
1253,26,2.64
1253,27,3.14
1253,28,3.01
1253,29,2.97
1253,30,2.76
1253,31,3.16
1253,32,3.12
1253,33,2.22
1253,34,2.8
1253,35,3.09
1253,36,2.67
1253,37,2.56
1253,38,3.2
1253,39,2.76
1253,40,2.82
1253,41,2.89
1253,42,2.81
1253,43,2.11
1253,44,3.62
1253,45,2.49
1253,46,3.64
1253,47,2.99
1253,48,2.59
1253,49,3.2
