item_id,item_name,brand,desc_item,i_type,likes,dislikes,exp_date,spm_id,cost,department,size
1,natoque penatibus et magnis,National,ICE - CRUSHED/CUBED,FRZN ICE,,,2021-05-28 ,1,6.71,GROCERY,22 LB
2,"laoreet, libero et tristique",National,NO SUBCOMMODITY DESCRIPTION,NO COMMODITY DESCRIPTION,,,2020-07-20 ,1,28.27,MISC. TRANS., 
3,cursus,Private,BREAD:ITALIAN/FRENCH,BREAD,,,2021-04-15 ,1,13.44,PASTRY, 
4,"tempus scelerisque,",Private,APPLE SAUCE,FRUIT - SHELF STABLE,,,2020-08-25 ,1,5.36,GROCERY,50 OZ
5,ullamcorper viverra. Maecenas iaculis,Private,SPECIALTY COOKIES,COOKIES/CONES,,,2020-07-03 ,1,54.77,GROCERY,14 OZ
6,"in,",Private,SPICES & SEASONINGS,SPICES & EXTRACTS,,,2020-12-27 ,1,87.16,GROCERY,2.5 OZ
7,"ipsum porta elit, a feugiat",Private,TRAY PACK/CHOC CHIP COOKIES,COOKIES/CONES,,,2021-03-17 ,1,97.52,GROCERY,16 OZ
8,"sed, sapien. Nunc",Private,VITAMIN - MINERALS,VITAMINS,,,2021-02-08 ,1,3.96,DRUG GM,300CT(1)
9,"molestie pharetra nibh. Aliquam ornare,",Private,SW GDS: SW ROLLS/DAN,BREAKFAST SWEETS,,,2020-11-25 ,1,23.67,PASTRY, 
10,sed sem egestas blandit.,Private,HONEY,PNT BTR/JELLY/JAMS,,,2021-04-24 ,1,49.66,GROCERY,12 OZ
11,sociis natoque penatibus,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,2020-08-20 ,1,32.45,GROCERY,56 OZ
12,"mattis ornare,",National,TV/MOVIE-MAGAZINE,MAGAZINE,,,2021-05-30 ,1,91.44,DRUG GM, 
13,volutpat nunc sit amet,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,2021-01-15 ,1,71.7,GROCERY,56 OZ
14,"Vivamus nibh dolor, nonummy",National,AIR CARE - AEROSOLS,AIR CARE,,,2021-06-04 ,1,1.81,GROCERY, 
15,vulputate velit eu sem.,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,2021-03-09 ,1,42.6,GROCERY,56 OZ
16,quam a felis,Private,SPICES & SEASONINGS,SPICES & EXTRACTS,,,2020-12-29 ,1,48.74,GROCERY,4 OZ
17,"diam. Duis mi enim,",Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,2020-09-28 ,1,45.38,GROCERY,56 OZ
18,"non,",Private,STRING CHEESE,CHEESE,,,2020-08-23 ,1,57.59,GROCERY,1 OZ
19,massa. Vestibulum accumsan neque et,Private,VEGETABLE/SALAD OIL,SHORTENING/OIL,,,2021-03-30 ,1,82.43,GROCERY,48 OZ
20,sed pede nec ante blandit,Private,INSTANT DECAF FLVR COFFEE W/ S,COFFEE,,,2020-11-11 ,1,51.08,GROCERY,9 OZ
21,turpis nec mauris blandit mattis.,Private,DIET CNTRL LIQS NUTRITIONAL,DIETARY AID PRODUCTS,,,2020-11-16 ,1,12.29,DRUG GM, 
22,imperdiet ullamcorper. Duis,Private,PAPER AND FOAM DRINKING CUPS,PAPER HOUSEWARES,,,2020-07-01 ,1,19.5,GROCERY,24 CT
23,imperdiet ullamcorper. Duis,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,2020-09-04 ,1,96.39,GROCERY,56 OZ
24,"Phasellus dolor elit,",Private,MAINSTREAM WHITE BREAD,BAKED BREAD/BUNS/ROLLS,,,2020-08-20 ,1,17.4,GROCERY,20 OZ
25,lobortis tellus justo sit,Private,NATURAL CHEESE EXACT WT CHUNKS,CHEESE,,,2020-07-08 ,1,82.01,GROCERY,24 OZ
26,massa,Private,CRANBERRY SAUCE,FRUIT - SHELF STABLE,,,2020-11-29 ,1,58.16,GROCERY,16 OZ
27,tristique senectus et,Private,MAINSTREAM WHITE BREAD,BAKED BREAD/BUNS/ROLLS,,,2021-04-20 ,1,5.75,GROCERY,20 OZ
28,"a, aliquet vel,",Private,MIXED VEGETABLES,VEGETABLES - SHELF STABLE,,,2021-05-29 ,1,63.88,GROCERY,15 OZ
29,Nam porttitor scelerisque neque. Nullam,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,2020-12-03 ,1,68.73,GROCERY,1/2 GAL
30,sapien. Nunc pulvinar,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,2020-11-23 ,1,89.97,GROCERY,56 OZ
31,eu nulla at sem,Private,MEXICAN BEANS REFRIED,HISPANIC,,,2021-04-27 ,1,47.81,GROCERY,16 OZ
32,Donec nibh. Quisque nonummy ipsum,Private,NATURAL CHEESE EXACT WT CHUNKS,CHEESE,,,2020-10-21 ,1,25.42,GROCERY,A B D  8OZ
33,velit egestas lacinia. Sed,Private,MAINSTREAM WHITE BREAD,BAKED BREAD/BUNS/ROLLS,,,2020-11-17 ,1,99.12,GROCERY,20 OZ
34,"ut aliquam iaculis, lacus pede",Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,2021-03-21 ,1,50.52,GROCERY,64 OZ
35,erat vel pede blandit,Private,SKILLET DINNERS,DINNER MXS:DRY,,,2021-05-12 ,1,75.69,GROCERY,5.8 OZ
36,eu enim.,Private,HOT MUSTARD/SPECIALTY MUSTAR,CONDIMENTS/SAUCES,,,2021-01-31 ,1,13.4,GROCERY,12 OZ
37,libero. Morbi accumsan laoreet ipsum.,Private,PLASTIC/HEAVY PAPER PREM PLATE,PAPER HOUSEWARES,,,2020-07-18 ,1,17.95,GROCERY,24 CT
38,"rutrum non, hendrerit id,",Private,IWS SINGLE CHEESE,CHEESE,,,2021-04-24 ,1,73.41,GROCERY,12 OZ
